username,date,tweet,hashtags,link
AurorasaSi,3/30/2022 22:40,"According to reports, a life insurance company based in France refused to pay multiple millions of pounds for a Covid-19 vaccine death, because the man knew about the risk of death and “voluntarily” took part in the medical experiment. #pfizer #psychopath #CORRUPTION","['pfizer', 'psychopath', 'corruption']",https://twitter.com/AurorasaSi/status/1509269466517020673
ChrisHubbard,3/30/2022 22:40,"@angrybklynmom If they can scare people enough to get it on the vaccine schedule, Pfizer and Moderna will make billions. I think it's purely a money play, efficacy and risk be damned. Our current government seems captured by these companies.",[],https://twitter.com/ChrisHubbard/status/1509269409273024513
JustLaElisa17,3/30/2022 22:40,"Pfizer CEO Albert Bourla calls people who spread ""vaccine misinformation"" ‘criminals.’ The irony! #LockHimUp  https://t.co/Y1e5PQWNNA",['lockhimup'],https://twitter.com/JustLaElisa17/status/1509269272526262273
thecliffadams,3/30/2022 22:40,@Upthefukcintics @Rstowitts @samkill @JamesLewisGrim2 @Ware52 @Jo521969 No actual evidence that there's been an increase in heart issues post-vaccine.  You're the only one talking about Pfizer's fine for a completely different medication.,[],https://twitter.com/thecliffadams/status/1509269267476361225
YannSolo15,3/30/2022 22:39,"Comme dirait @PatSebastien, c'est que d'l'amour ! #vaccins #vaccination #vaccines #Covid_19 #COVID19 #COVID #COVID19France #France #MacronAssassin #Macron #MacronMcKinseyGate #MacronEXPLOSION #Pfizergate #Pfizer #PfizerMacronGate #StopMacron #DictatureSanitaire","['vaccins', 'vaccination', 'vaccines', 'covid_19', 'covid19', 'covid', 'covid19france', 'france', 'macronassassin', 'macron', 'macronmckinseygate', 'macronexplosion', 'pfizergate', 'pfizer', 'pfizermacrongate', 'stopmacron', 'dictaturesanitaire']",https://twitter.com/YannSolo15/status/1509269105903345666
babycatcalla,3/30/2022 22:39,"what vaccine would that be? Pfizer ,Moderna  J&amp;J made enough money they can sort it out",[],https://twitter.com/babycatcalla/status/1509269091227373568
drsajumathew,3/30/2022 22:38,@frankTimmons16 @kenjeong There’s not much benefit in switching up an mRNA vaccine. But you can get a Pfizer as your fourth shot.,[],https://twitter.com/drsajumathew/status/1509268911161806850
covid_quest,3/30/2022 22:38,Vaccine mRNA sequences (in this case Moderna) have been found circulating in the bloodstream 28 days following injection. Pfizer assured us they would be gone in 24 hours.   Important thread:,[],https://twitter.com/covid_quest/status/1509268886344146947
yqqlm2,3/30/2022 22:38,Israeli study: Pfizer’s fourth dose of new coronavirus vaccine can reduce mortality in people over 60 years old  https://t.co/tCbFm0twFv,[],https://twitter.com/yqqlm2/status/1509268807637946368
Maria_26596243,3/30/2022 22:36,"@PaulaFSF I’ve had relatively mild reactions to the other Pfizer vaccines, basically just a sore arm for a day or two. So I’m hoping for the same this time around.",[],https://twitter.com/Maria_26596243/status/1509268265763287048
KDHE,3/30/2022 22:35,"Following FDA &amp; CDC recommendations, KDHE has authorized COVID-19 vaccine providers to offer a 2nd booster dose of either Pfizer or Moderna for individuals aged 50+ &amp; for certain immunocompromised individuals. Learn more:  https://t.co/OJVAI4PKgp.  https://t.co/qvZ22nkD4W",[],https://twitter.com/KDHE/status/1509268178450407425
TeresaKAlley,3/30/2022 22:34,"Which COVID-19 vaccine is best? Pfizer, Oxford, and more  https://t.co/ugPXvbIYbB via @mnt",[],https://twitter.com/TeresaKAlley/status/1509267798916218885
the_fat_checker,3/30/2022 22:33,@disclosetv Does Pfizer have a vaccine for dementia?,[],https://twitter.com/the_fat_checker/status/1509267707119960064
SophiaDevetzi,3/30/2022 22:32,"Pfizer and Moderna Boosters Help Protect Americans With J.&amp;J. Shots, C.D.C. Says: The C.D.C. now recommends that all adults who received one or two doses of the Johnson &amp; Johnson vaccine get a booster dose of an mRNA vaccine.  https://t.co/K30AvuSRcX",[],https://twitter.com/SophiaDevetzi/status/1509267356165451776
GigaChaddo,3/30/2022 22:32,Wow! What are the chances that #aphasia is a listed side effect of the #Pfizer Vaccine.  So many lives and careers have been ruined &amp; ended due to these pointless vaccinations   https://t.co/HrylFp0zl9,"['aphasia', 'pfizer']",https://twitter.com/GigaChaddo/status/1509267327564632071
DannyKeaton4,3/30/2022 22:32,@PatiKRoll11 @Out5p0ken All of my covid vaccines have been pfizer my next booster will be pfizer,[],https://twitter.com/DannyKeaton4/status/1509267256940892160
gor59404323,3/30/2022 22:31,@cnnbrk  ur cdc givimg wrong information no wonder ur num ers are rising one shoy or vaccine lasts at thw most 8 months as per Pfizer science and WHO at 8 months u.go down to about 32% immunity with a booster brings u up to 72%..thats wht a booster is only half shot,[],https://twitter.com/gor59404323/status/1509267008092876803
CatDocMD,3/30/2022 22:30,I was again reminded that Pfizer’s brand name for their COVID vaccine is Comirnaty and I’m upset again,[],https://twitter.com/CatDocMD/status/1509266792073596935
wbalradio,3/30/2022 22:30,"President Joe Biden called on Congress to pass billions of dollars in additional funding to fight the COVID-19 pandemic on Wednesday, as he received a second booster dose of the Pfizer vaccine.  https://t.co/rcgFMKr6vs",[],https://twitter.com/wbalradio/status/1509266762273103878
KAPPKVEW,3/30/2022 22:30,President Joe Biden called on Congress to pass billions of dollars in funding to fight the COVID-19 pandemic shortly after receiving a second booster dose of the Pfizer vaccine.  https://t.co/zxx8M5DLE1,[],https://twitter.com/KAPPKVEW/status/1509266761669136388
SpecNewsMaine,3/30/2022 22:30,"President Joe Biden called on Congress to pass billions of dollars in additional funding to fight the #COVID19 pandemic on Wednesday, as he received a second booster dose of the Pfizer vaccine.  https://t.co/IpFE6l4Hnt",['covid19'],https://twitter.com/SpecNewsMaine/status/1509266758540140554
CarolineCoHD,3/30/2022 22:30,"We've updated our vaccine clinic schedules through Thurs 4/7, including a pediatric Pfizer clinic on Weds 4/6. Testing will be available in Denton Plaza from 9AM to 12PM on Tues 4/5 &amp; Thurs 4/7. Testing is free, but appointments are required. Register at  https://t.co/k8FlQCbdgF",[],https://twitter.com/CarolineCoHD/status/1509266738155823112
Mark_siegel_5,3/30/2022 22:28,"If you believe that Will Smith incident is real like cmon bru. Stand for something or fall for anything. Pfizer literally sponsored the event while they’re developing a new vaccine for alopecia, literally what the joke was revolved around. Everything is about pushing an agenda.",[],https://twitter.com/Mark_siegel_5/status/1509266347120893954
BiotechObserver,3/30/2022 22:28,@RisinMo @AngryCardio @JakeAnbinder That's not controlled data.  That will overlap with the case waves prevalent at the time of vaccine rollout.  I showed you the controlled data from Pfizer clinical trials that completely negates your false claim.  Sorry.,[],https://twitter.com/BiotechObserver/status/1509266338363105280
vg8dtf26qb,3/30/2022 22:28,"@pfizer Since the Covid-19 vaccines, I have experienced several severe focused migraines. Have there been similar experiences by other recipients?",[],https://twitter.com/vg8dtf26qb/status/1509266222277443588
vaxreports1,3/30/2022 22:27,"Thanks for all the RT's and new followers,due to you sharing this post you are helping raise awareness of vaccine deaths and injuries.  And we are top trending 1st &amp; 2nd #Pfizer  Keep it going",['pfizer'],https://twitter.com/vaxreports1/status/1509266077984903175
David58889643,3/30/2022 22:26,"Imperative RCMP, police or national forensic lab test Germany’s Pfizer-BioNTech vaccine – NCIO  https://t.co/pn0zTZu9R3",[],https://twitter.com/David58889643/status/1509265910103613440
sarahgleim,3/30/2022 22:25,"@DrEricDing Can you switch vaccines on your second booster, too? So if you've had 2 Pfizer shots, and a Pfizer booster, can you get a second Moderna booster?",[],https://twitter.com/sarahgleim/status/1509265475879981066
abou_hureira1,3/30/2022 22:23,Ah oui dans le minimum faut rajouter vacciné 3 doses pfizer sinon y'a même de muqabala,[],https://twitter.com/abou_hureira1/status/1509264987692441608
NewsHour,3/30/2022 22:21,WATCH: President Biden called on Congress to pass billions of dollars in additional funding to fight the COVID pandemic as he received a second booster dose of the Pfizer vaccine a day after federal regulators approved a fourth shot for those 50 and older.  https://t.co/gbV5H4tHRQ,[],https://twitter.com/NewsHour/status/1509264452851585027
ArtysHouse,3/30/2022 22:20,@SpyVsSpy20 @cynthiacusack @addingtonbare1 Pfizer does not know this.  All they know is the amount of doses they shipped to where.  They don't know the records of every organisation who administered the vaccine.,[],https://twitter.com/ArtysHouse/status/1509264256671584256
rogue_priest99,3/30/2022 22:20,"My 3rd pfizer vaccine tasted the best, didnt care for the johnson and johnson after taste",[],https://twitter.com/rogue_priest99/status/1509264243178233864
StormProtocol,3/30/2022 22:20,"Dr. Paul Alexander, a COVID Consultant Researcher in EBM, Research Methodology, &amp; Clinical Epidemiology, who provided informal support to some members of Congress about the #vaccine &amp; the fake pandemic, said: #Pfizer offered him $1M &amp; $50K /mo for silence.  https://t.co/ACfhROEMVd","['vaccine', 'pfizer']",https://twitter.com/StormProtocol/status/1509264217974599680
wsyx6,3/30/2022 22:20,"Following approval by the CDC and FDA, all Rite Aid locations in Ohio are now administering a second booster of Pfizer and Moderna's COVID-19 vaccines to those who are eligible.  https://t.co/rFqh8LtBkZ",[],https://twitter.com/wsyx6/status/1509264197963567104
GoumazDan,3/30/2022 22:19,@POTUS This has now become bullshit.  There is no vaccine ever been created in history that requires you to take this many shots.  I got the first two shots and the third booster. Will not get the fourth because in my opinion this is simply away to funnel money to Pfizer now.,[],https://twitter.com/GoumazDan/status/1509264076106616838
BalDESIGNSchool,3/30/2022 22:19,"Walk-up COVID-19 Pfizer vaccine clinic for anyone age 5+.Thursday, April 28 4pm - 6pm @ 1700 G...  https://t.co/PywkBFT34A via @ParentS...  https://t.co/snYaeFbX6Z",[],https://twitter.com/BalDESIGNSchool/status/1509264040425574405
TECH23_2,3/30/2022 22:19,@DrCaliff_FDA Novavax vaccine approval way overdue.  Please provide Americans with a safe alternative.  Stop pandering to Pfizer.  Only 1 former FDA head allowed on Pfizer’s board at a time.,[],https://twitter.com/TECH23_2/status/1509264023572914190
Mark35785935,3/30/2022 22:18,"@Frances44271954 @jimmy_grogan @SubinthePub Just read the Pfizer documents concerning the vaccine they were forced to release due to a court order, that will do it for you",[],https://twitter.com/Mark35785935/status/1509263707649413122
misty_alche,3/30/2022 22:17,When all those brainwashed bots and idiots were saying ''trust the science''.... I decided the only way I was going to do that was to do my own science...   I would never trust any of those scumbags at #Pfizer #AstraZeneca #Moderna #CDC all money grabbing bullshitters! #vaccines,"['pfizer', 'astrazeneca', 'moderna', 'cdc', 'vaccines']",https://twitter.com/misty_alche/status/1509263689530187780
juice83272159,3/30/2022 22:17,@MrBrandonDavid @SpockTheVulcan3 Pfizer got me the vaccine,[],https://twitter.com/juice83272159/status/1509263679346429959
KnoxCoHealthTN,3/30/2022 22:17,"Join the community vaccine team this Sunday, April 3 from noon - 3 p.m. with Lennon-Seney United Methodist Church (2084 Dandridge Avenue).  Anyone is welcome to join this FREE COVID-19 &amp; Flu vaccination clinic offering flu, adult &amp; pediatric Pfizer, Moderna, and J&amp;J vaccines.  https://t.co/kTFG00iGMS",[],https://twitter.com/KnoxCoHealthTN/status/1509263674380279808
saysgrumpysuzie,3/30/2022 22:17,@esunachimba @KateEmerson88 @Simmotravels @NSWHealth Yale research here. Perhaps do your own research. Pfizer Ceo recently stated their vaccine wanes too. Sorry I can't copy link.  https://t.co/pbjUKv0zPm,[],https://twitter.com/saysgrumpysuzie/status/1509263620823482368
ScribeDeGryphon,3/30/2022 22:16,"@TheRickyDavila Exactly the same. Boosted with Pfizer, masked whenever I leave the house. And I'm there for the 4th vaccine. Whatever I need to do to keep myself and others safe.",[],https://twitter.com/ScribeDeGryphon/status/1509263419219664897
Powerfm987,3/30/2022 22:15,ON-AIR: The Senior Manager for Affordable Medicines from the Department of @HealthZA Khadaija Jamaloodien speaks to @DenzilTaylor about the discarding of over 92 000 unused #Pfizer vaccines which will expire tomorrow. #POWERPerspective,"['pfizer', 'powerperspective']",https://twitter.com/Powerfm987/status/1509262959964524549
ABC7Amarillo,3/30/2022 22:15,"President Joe Biden is set to receive a second booster dose of the Pfizer COVID-19 vaccine on Wednesday, the White House announced, a day after federal regulators approved a fourth shot for those aged 50 and older.  https://t.co/ra84xw0Fo1",[],https://twitter.com/ABC7Amarillo/status/1509262939861110785
KTULNews,3/30/2022 22:15,"President Biden called on Congress to pass billions in additional funding to fight the COVID-19 pandemic, as he received a second booster dose of the Pfizer vaccine a day after federal regulators approved a fourth shot for those aged 50 and older.  https://t.co/NvMbk8ZD2P",[],https://twitter.com/KTULNews/status/1509262939840262144
JBrady70373767,3/30/2022 22:14,"@aiaht2002 @pink_peonies11 @protectustwt @BuffyWicks @DrPanMD @DrPanMD has received campaign funding from Pfizer (multiple donations) and nearly 30 other pharma companies, as well as Roche Diagnostics (COVID test manufacturer) and CVS &amp; Walgreens, where many people receive the vaccine. He's a paid-off shill with absolutely zero integrity.",[],https://twitter.com/JBrady70373767/status/1509262710508179460
EssDeeDub,3/30/2022 22:12,"@AllyBFraz I never got it. Was in the vaccine trials for Pfizer. My booster is 8 months old. Yes, my BOOSTER. I wore a mask until county mandate lifted, but I went and did whatever I wanted to.",[],https://twitter.com/EssDeeDub/status/1509262397353115651
EstablshmentBar,3/30/2022 22:11,"So, getting my second booster on Sunday. Based on studies published, I'm going to change my vaccine to Pfizer from Moderna. Since Pfizer is a full dose, let's see how fucked up it makes me.",[],https://twitter.com/EstablshmentBar/status/1509262168604114944
PrebleCoHealth,3/30/2022 22:11,"Covid vaccine WALK-INS for MODERNA vaccine ONLY, tomorrow March 31st from 1 p.m.- 3:30 p.m. Appointments still available for Adult Pfizer (age 12and up) and J&amp; J vaccine. Visit  https://t.co/JlxCddsbmU to register.  https://t.co/z7QHoPjZoG",[],https://twitter.com/PrebleCoHealth/status/1509262128477315075
